'id_car_option_value','id_car_option','id_car_equipment','is_base','date_create','date_update','id_car_type'
'17851','9','285','1','1464484350','1464484350','1'
'17852','958','285','1','1464484350','1464484350','1'
'17853','1060','285','1','1464484350','1464484350','1'
'17854','855','285','1','1464484350','1464484350','1'
'17855','1061','285','1','1464484350','1464484350','1'
'17856','1062','285','1','1464484350','1464484350','1'
'17857','252','285','1','1464484350','1464484350','1'
'17858','499','285','1','1464484350','1464484350','1'
'17859','1063','285','1','1464484350','1464484350','1'
'17860','253','285','1','1464484350','1464484350','1'
'17861','993','285','1','1464484350','1464484350','1'
'17862','13','285','1','1464484350','1464484350','1'
'17863','14','285','1','1464484350','1464484350','1'
'17864','15','285','1','1464484350','1464484350','1'
'17865','1064','285','1','1464484350','1464484350','1'
'17866','400','285','1','1464484350','1464484350','1'
'17867','997','285','1','1464484350','1464484350','1'
'17868','861','285','1','1464484350','1464484350','1'
'17869','999','285','1','1464484350','1464484350','1'
'17870','1000','285','1','1464484350','1464484350','1'
'17871','19','285','1','1464484350','1464484350','1'
'17872','1065','285','1','1464484350','1464484350','1'
'17873','143','285','1','1464484350','1464484350','1'
'17874','960','285','1','1464484350','1464484350','1'
'17875','1003','285','1','1464484350','1464484350','1'
'17876','1066','285','1','1464484350','1464484350','1'
'17877','83','285','1','1464484350','1464484350','1'
'17878','648','285','1','1464484350','1464484350','1'
'17879','1004','285','1','1464484350','1464484350','1'
'17880','1006','285','0','1464484350','1464845187','1'
'17881','1008','285','0','1464484350','1464845187','1'
'17882','22','285','0','1464484350','1464845187','1'
'17883','1010','285','1','1464484350','1464484350','1'
'17884','1067','285','1','1464484350','1464484350','1'
'17885','25','285','0','1464484350','1464845187','1'
'17886','1068','285','1','1464484350','1464484350','1'
'17887','260','285','1','1464484350','1464484350','1'
'17888','29','285','1','1464484350','1464484350','1'
'17889','513','285','1','1464484350','1464484350','1'
'17890','245','285','1','1464484350','1464484350','1'
'17891','213','285','1','1464484350','1464484350','1'
'17892','31','285','1','1464484350','1464484350','1'
'17893','552','285','1','1464484350','1464484350','1'
'17894','1019','285','1','1464484350','1464484350','1'
'17895','1020','285','1','1464484350','1464484350','1'
'17896','896','285','1','1464484350','1464484350','1'
'17897','1069','285','1','1464484350','1464484350','1'
'17898','200','285','1','1464484350','1464484350','1'
'17899','218','285','1','1464484350','1464484350','1'
'17900','1070','285','1','1464484350','1464484350','1'
'17901','407','285','1','1464484350','1464484350','1'
'17902','33','285','1','1464484350','1464484350','1'
'17903','1071','285','1','1464484350','1464484350','1'
'17904','162','285','1','1464484350','1464484350','1'
'17905','455','285','1','1464484350','1464484350','1'
'17906','409','285','1','1464484350','1464484350','1'
'17907','35','285','1','1464484350','1464484350','1'
'17908','36','285','1','1464484351','1464484351','1'
'17909','1073','285','1','1464484351','1464484351','1'
'17910','264','285','1','1464484351','1464484351','1'
'17911','1074','285','1','1464484351','1464484351','1'
'17912','1075','285','1','1464484351','1464484351','1'
'17913','1027','285','1','1464484351','1464484351','1'
'17914','1030','285','1','1464484351','1464484351','1'
'17915','589','285','1','1464484351','1464484351','1'
'17916','636','285','1','1464484351','1464484351','1'
'17917','1032','285','1','1464484351','1464484351','1'
'17918','1033','285','1','1464484351','1464484351','1'
'17919','1076','285','1','1464484351','1464484351','1'
'17920','620','285','1','1464484351','1464484351','1'
'17921','945','285','1','1464484351','1464484351','1'
'17922','1077','285','1','1464484351','1464484351','1'
'17923','1038','285','1','1464484351','1464484351','1'
'17924','1078','285','1','1464484351','1464484351','1'
'17925','1079','285','1','1464484351','1464484351','1'
'17926','1040','285','1','1464484351','1464484351','1'
'17927','78','285','1','1464484351','1464484351','1'
'17929','130','285','1','1464484351','1464484351','1'
'17930','1041','285','1','1464484351','1464484351','1'
'17931','266','285','1','1464484351','1464484351','1'
'17932','901','285','1','1464484351','1464484351','1'
'17933','232','285','1','1464484351','1464484351','1'
'17934','1043','285','1','1464484351','1464484351','1'
'17935','722','285','1','1464484351','1464484351','1'
